ADAS Y SEGURIDAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airbags,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,6,6,6,6,6,4,6,2,6,4,6,7,4,2,6,7,7,4,6,6,7,6,6,6,6,6,6,6,6,6,2,6,6,7,6,6,2,6,7,7,7,7,6,2,7,6,6,6,7,7,6,7,6,6,7,6,6,6,7,7,7,6,2,6,8,6,6,6,6,6,6,6,6,8,6,7,7,7,9,9,9,9,9,
Frenado Autónomo de Emergencia (AEB),,,,,,,,,,,,,,,,,,,,,,Sí,,,,Sí,,,Sí,Sí,,Sí,Sí,,Sí,Sí,Sí,Sí,,Sí,,Sí,No,Sí,,Sí,,Sí,,,,,Sí,,,Sí,,,Sí,Sí,Sí,Sí,,Sí,,,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,
Advertencia de Colisión Frontal (FCW),,,,,,,,,,,,,,,,,,,,,,Sí,,,,Sí,,,,Sí,,Sí,Sí,,Sí,Sí,Sí,Sí,,Sí,,Sí,No,Sí,,Sí,,Sí,,,,,Sí,Sí,,Sí,,,Sí,Sí,Sí,Sí,,,,Sí,,Sí,,Sí,Sí,,Sí,Sí,,Sí,,Sí,Sí,Sí,Sí,Sí,Sí,,,Sí,Sí,Sí,Sí,Sí,,Sí,,,Sí,Sí,,,,Sí,Sí,Sí,Sí,Sí,
Advertencia de Colisión Trasera (RCW),,,,,,,,,,,,,,,,,,,,,,,,,,Sí,,,,,,,Sí,,Sí,Sí,Sí,Sí,,Sí,,Sí,No,,,Sí,,Sí,,,,,Sí,,,Sí,,,,Sí,Sí,Sí,Sí,,,Sí,,Sí,,Sí,Sí,,Sí,Sí,,Sí,,,,Sí,Sí,Sí,,,,Sí,,Sí,Sí,Sí,Sí,,,,Sí,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,
Advertencia de Calida de Carril (LDW),,,,,,,,,,,,,,,,,,,,,,Sí,,,,Sí,,,,,,Sí,Sí,,,Sí,Sí,Sí,,Sí,,Sí,No,Sí,,Sí,,Sí,,,,,Sí,Sí,,Sí,,,Sí,Sí,Sí,Sí,,,,Sí,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,
Asistente Mantenimiento en Carril (LKA),,,,,,,,,,,,,,,,,,,,,,Sí,,,,Sí,,,,Sí,,Sí,Sí,,,,Sí,Sí,,Sí,,Sí,No,Sí,,Sí,,Sí,,,,,Sí,Sí,,,,,Sí,Sí,Sí,Sí,,,,Sí,,,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,Sí,,Sí,Sí,,Sí,Sí,,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,
Reconocimiento de señales de tránsito (TCR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,,,Sí,Sí,Sí,,,,Sí,No,Sí,,Sí,,Sí,,,,,Sí,Sí,,Sí,,,Sí,Sí,Sí,,,,,Sí,Sí,Sí,,Sí,,Sí,Sí,Sí,,,,,Sí,,Sí,,Sí,,Sí,Sí,,Sí,Sí,,,Sí,,Sí,,,,,,Sí,Sí,Sí,Sí,Sí,
Asistente de velocidad (ISA),,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,No,Sí,,,Sí,Sí,Sí,,,,Sí,No,,,Sí,,,,,,,Sí,Sí,,Sí,,,Sí,,Sí,,Sí,Sí,,Sí,,Sí,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,Sí,,Sí,Sí,,,,Sí,Sí,,,Sí,,Sí,Sí,,Sí,,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,
Asistente de atascos (TJA),,,,,,,,,,,,,,,,,,,,,,Sí,,,,,,,,,,Sí,Sí,,,,Sí,Sí,,,,Sí,No,Sí,,,,,,,,,Sí,Sí,,,,,Sí,,Sí,Sí,,,,Sí,,,,Sí,,Sí,,Sí,Sí,Sí,,,,,Sí,Sí,,,Sí,,,Sí,,,Sí,,,,,,,,,Sí,Sí,Sí,Sí,Sí,
Asistencia en carretera,,,,,,,,,,,,,,,,,,,,,,Sí,,,,,,,,,,Sí,,,,,,,,,,,No,Sí,,,,,,,,,Sí,,,,,,Sí,,,,,,,,,,,Sí,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,
Detector de fatiga,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,Sí,,,,,,Sí,,Sí,,,,,,,,,Sí,Sí,,,,,,,,,Sí,,,,,,,,,Sí,,,,,Sí,,,,,,Sí,Sí,Sí,Sí,Sí,
Control Crucero,SI,SI,,,,,,,,,,,,,,SI,,SI,SI,,SI,SI,,,SI,,SI,SI,SI,,,,,SI,,,,,SI,,SI,,SI,,,,SI,,SI,,SI,SI,,,SI,,SI,SI,,,,,SI,SI,SI,,,,SI,,,,,,,,SI,,,,,,,,,,,,,,,,,,,,,,,Sí,Sí,Sí,Sí,Sí,
Control Crucero Adaptativo (ACC),,,,,,,,,,,,,,,,,,,,,,,,,,SI,,,,SI,,SI,SI,,SI,SI,SI,SI,,SI,,SI,,SI,,SI,,SI,,,,,SI,,,SI,,,SI,SI,SI,SI,,,,,SI,SI,,SI,SI,SI,SI,SI,SI,SI,,SI,SI,SI,,SI,SI,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,Sí,Sí,Sí,Sí,Sí,
Monitoreo de presión de neumáticos (TPMS),,,,,,Sí,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,Sí,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,
Sensores de estacionamiento delanteros,,,,Sí,,,,,,,,,,,,,,,,,Sí,,,,,,,Sí,,,No,Sí,,,,,,,Sí,Sí,,,,Sí,Sí,Sí,Sí,Sí,,,,,,,Sí,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,,,,Sí,Sí,,Sí,,,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,,Sí,,Sí,,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,Sí,,,,Sí,Sí,Sí,Sí,Sí,
Sensores de estacionamiento traseros,Sí,Sí,Sí,Sí,,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,,,Sí,Sí,Sí,Sí,Sí,
CRASH TEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro NCAP,,,,,,,,,,,,,,,,,,,,,,3 Estrellas,1 Estrellas,,,,,,,,,3 Estrellas,5 Estrellas,,,5 Estrellas,5 Estrellas,5 Estrellas,,,,5 Estrellas,5 Estrellas,,5 Estrellas,5 Estrellas,,,,,,,5 Estrellas,,,5 Estrellas,,,,5 Estrellas,5 Estrellas,5 Estrellas,,,,,4 Estrellas,,5 Estrellas,5 Estrellas,5 Estrellas,,5 Estrellas,,5 Estrellas,,,,,5 Estrellas,,5 Estrellas,,,,5 Estrellas,5 Estrellas,,5 Estrellas,5 Estrellas,5 Estrellas,,,,,,,,,5 Estrellas,5 Estrellas,5 Estrellas,5 Estrellas,5 Estrellas,
Latin NCAP,,,,,,,,,,,,,,,,0 Estrellas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 Estrellas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China NCAP,,,,,,,,,,,,,,5 Estrellas,,,5 Estrellas,,4 Estrellas,,,5 Estrellas,,,4 Estrellas,5 Estrellas,,,,,,5 Estrellas,5 Estrellas,,,,5 Estrellas,5 Estrellas,,,,5 Estrellas,,,5 Estrellas,5 Estrellas,,,,,,,,,,5 Estrellas,,,,5 Estrellas,5 Estrellas,,,,,,,,,5 Estrellas,,,5 Estrellas,,,,,,,,,,,5 Estrellas,,,,,,,,,,,,,,,,,,,,,
Garantía,6 años o 100.000 km,6 años o 100.000 km,5 años o 120.000 km,5 años,3 años o 100.000 km,5 años,8 años o 120.000 KM,8 años o 120.000 Km,3 años o 100.000 Km,5 años,8 años o 150.000 Km,8 años o 150.000 Km,3 años o 120.000 Km,8 años o 100.00 Km,3 años o 100.000 Km,8 años o 150.000 Km,10 años,3 años o 100.000 Km,8 años o 150.000 Km,8 años o 120.000 Km,5 años o 100.000 Km,10 años,5 años o 100.000 Km,8 años o 150.000 km,8 años o 150.000 Km,8 años o 150.000 Km,3 años o 100.00 Km,8 años o 160.000 Km,8 años o 150.00 Km,8 años o 150.000 km,8 años o 200.000 Km,10 años,5 años o 150.000 Km,5 años o 400.000 Km,3 años o 150.000 Km,8 años o 150.000 Km,5 años o 150.000 Km,5 años o 150.000 Km,8 años o 150.000 Km,8 años o 160.000 Km,8 años o 160.000 Km,5 años o 150.000 Km,5 años o 150.000 Km,8 años o 200.000 Km,8 años o 150.000 Km,8 años o 150.000 Km,8 años o 200.000 Km,8 años o 160.000 Km,5 años o 400.000 Km,8 años o 150.000 Km,8 años o 160.000 Km,8 años o 160.000 Km,5 años o 150.000 Km,7 años o 150.00 Km,8 años o 150.000 Km,8 años o 150.000 Km,8 años o 150.000 Km,5 años o 150.000 Km,8 años o 200.000 Km,8 años o 160.000 Km,5 años o 150.000 Km,8 años o 150.000 Km,8 años o 150.000 Km,8 años o 150.000 Km,5 años o 150.000 Km,7 años o 150.00 Km,8 años o 160.000 Km,8 años o 150.000 Km,8 años o 150.000 Km,5 años o 150.000 Km,5 años o 100.000 Km,8 años o 160.000 Km,8 años o 160.000 Km,8 años o 150.000 Km,8 años o 160.000 Km,8 años o 150.000 Km,8 años o 150.000 Km,8 años o 160.000 Km,8 años o 150.000 Km,5 años o 100.000 Km,7 años o 150.00 Km,8 años o 150.000 Km,5 años o 400.000 Km,8 años o 160.000 Km,8 años o 160.000 Km,8 años o 160.000 Km,,8 años o 150.000 Km,8 años o 150.000 Km,5 años o 100.000 Km,8 años o 160.000 Km,8 años o 200.000 Km,8 años o 160.000 Km,8 años o 160.000 Km,8 años o 160.000 Km,8 años o 160.000 Km,8 años o 160.000 Km,8 años o 160.000 Km,8 años o 160.000 Km,4 años o 80.000 Km,4 años o 80.000 Km,4 años o 80.000 Km,4 años o 80.000 Km,4 años o 80.000 Km,
Precio USD,9990,10990,11490,11990,11990,12990,13990,13990,13990,14490,15900,16900,16990,17990,17990,17990,17990,18990,19990,19990,19990,19990,19990,20590,21990,21990,21990,22490,22490,22790,22990,22990,23490,23900,23990,23990,23990,23990,23990,24990,24990,24990,24990,25650,25990,25990,25990,25990,26900,26990,26990,26990,26990,26990,26990,27990,27990,27990,28990,28990,28990,28990,28990,29990,29990,29990,29990,30990,30990,30990,30990,31900,31990,31990,31990,31990,32990,33990,33990,33990,33990,33990,34900,34990,34990,34990,34990,35990,35990,36990,37900,39950,55990,62990,63990,65990,105990,111990,116990,32990,37990,49990,36490,41490,
PUNTUACION,50,52,49,47,44,45,53,52,50,52,54,55,54,57,44,45,58,55,59,48,43,60,45,62,61,62,59,62,52,63,62,63,65,56,45,63,64,65,56,57,54,66,60,59,63,65,65,67,60,55,55,56,80,65,70,60,60,55,65,79,65,78,78,55,55,60,55,75,77,80,79,60,81,77,65,79,60,76,74,77,70,65,50,56,56,72,50,60,80,79,66,76,77,78,79,80,82,83,84,96,97,97,96,97,
